City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
249,kulhudhuffushi,6.6221,73.07,28.29,78,100,4.88,MV,1719795834
250,lompoc,34.6391,-120.4579,22.69,66,0,9.39,US,1719795834
251,afif,23.9065,42.9172,27.56,18,100,7.05,SA,1719795834
252,rabaul,-4.1967,152.1721,29.51,68,26,5.41,PG,1719795834
253,kenai,60.5544,-151.2583,20.01,69,93,2.44,US,1719795834
254,san patricio,28.017,-97.5169,31.4,68,0,5.53,US,1719795835
255,magdagachi,53.45,125.8,27.39,35,93,3.53,RU,1719795835
256,sao desiderio,-12.3633,-44.9733,20.02,40,10,1.74,BR,1719795835
257,smithers,54.7804,-127.1743,19.18,48,75,3.09,CA,1719795718
258,kabalo,-6.05,26.9167,22.09,49,8,1.99,CD,1719795835
259,muscatine,41.4667,-91.1335,21.1,52,0,3.6,US,1719795835
260,qalat,32.1058,66.9083,25.66,26,0,2.61,AF,1719795835
261,borogontsy,62.6683,131.1683,22.57,36,100,4.98,RU,1719795835
262,salinopolis,-0.6136,-47.3561,25.79,87,93,4.74,BR,1719795835
263,dul'durga,50.6761,113.5931,25.94,42,28,0.48,RU,1719795835
264,forster,-32.1667,152.5167,14.6,80,29,5.34,AU,1719795835
265,quelimane,-17.8786,36.8883,19.97,88,20,1.4,MZ,1719795835
266,datong,40.0936,113.2914,23.06,46,100,1.99,CN,1719795659
267,berezovyy,51.6667,135.7,25.73,29,6,1.55,RU,1719795835
268,vadso,70.0744,29.7487,8.09,93,40,1.03,NO,1719795835
269,valparaiso,-33.0393,-71.6273,15.63,62,5,4.4,CL,1719795835
270,argostolion,38.1811,20.489,25.41,33,0,1.29,GR,1719795836
271,n'zeto,-7.2312,12.8666,20.5,91,6,2.63,AO,1719795836
272,moyo,3.6609,31.7247,18.45,82,76,1.65,UG,1719795836
273,kribi,2.95,9.9167,24.24,93,38,1.59,CM,1719795836
274,ghadamis,30.1337,9.5007,32.96,18,0,4.5,LY,1719795836
275,tidjikja,18.5564,-11.4271,32.46,24,1,3.87,MR,1719795836
276,labrador city,52.9463,-66.9114,15.95,44,40,4.63,CA,1719795836
277,olonkinbyen,70.9221,-8.7187,2.73,85,10,3.78,SJ,1719795836
278,ilulissat,69.2167,-51.1,5.01,81,100,0.0,GL,1719795836
279,gornozavodsk,58.3758,58.3211,13.8,89,3,0.89,RU,1719795836
280,zuyevka,58.405,51.1335,16.23,97,36,3.03,RU,1719795836
281,hirara,24.8,125.2833,30.92,84,20,7.72,JP,1719795836
282,rio grande,-32.035,-52.0986,7.06,73,2,4.46,BR,1719795766
283,boende,-0.2167,20.8667,23.24,56,99,1.02,CD,1719795836
284,kourou,5.1552,-52.6478,28.03,92,31,3.05,GF,1719795647
285,sucua,-2.4667,-78.1667,20.4,99,97,0.68,EC,1719795836
286,lake monticello,37.9232,-78.3347,29.88,78,79,2.24,US,1719795836
287,tiksi,71.6872,128.8694,8.55,57,99,1.72,RU,1719795836
288,taksimo,56.3444,114.8794,28.54,42,6,0.32,RU,1719795837
289,katsuren-haebaru,26.3369,127.8719,31.89,70,91,7.21,JP,1719795837
290,kailua-kona,19.6406,-155.9956,28.11,77,18,1.79,US,1719795709
291,manta,-0.95,-80.7333,24.88,83,75,4.63,EC,1719795780
292,mirny,62.5353,113.9611,27.03,49,12,5.39,RU,1719795837
293,saynshand,44.8824,110.1163,20.46,56,87,6.2,MN,1719795837
294,muzo,5.5353,-74.1078,20.71,98,100,1.38,CO,1719795837
295,sitka,57.0531,-135.33,12.94,82,100,3.09,US,1719795547
296,madera,37.1666,-119.8343,36.24,23,0,4.43,US,1719795837
297,baiquan,47.5833,126.0833,22.74,41,0,3.51,CN,1719795837
298,cacalchen,20.9833,-89.2333,32.0,67,100,2.33,MX,1719795837
299,agaro,7.85,36.65,15.92,97,100,0.54,ET,1719795837
300,turpan,42.9333,89.1667,39.8,14,100,1.13,CN,1719795837
301,raholt,60.2667,11.1833,10.1,87,0,1.03,NO,1719795837
302,tamanrasset,22.785,5.5228,30.95,11,1,5.66,DZ,1719795837
303,iskateley,67.6803,53.1512,4.41,84,100,4.08,RU,1719795837
304,al jawf,29.5,38.75,25.36,42,0,4.25,SA,1719795837
305,murun-kuren,49.6342,100.1625,22.4,37,90,0.97,MN,1719795627
306,sault ste. marie,46.5168,-84.3333,14.31,76,20,6.69,CA,1719795709
307,shijiazhuang,38.0414,114.4786,23.92,60,100,3.17,CN,1719795836
308,colonia,50.9333,6.95,17.19,89,75,2.06,DE,1719795809
309,lubang,13.8584,120.124,29.24,76,78,6.26,PH,1719795837
310,tambacounda,13.7539,-13.7586,32.03,66,75,5.14,SN,1719795838
311,atambua,-9.1061,124.8925,27.71,51,58,2.34,ID,1719795838
312,guelmim,28.987,-10.0574,18.19,82,20,5.14,MA,1719795838
313,al bawiti,28.3492,28.8659,25.29,64,0,3.26,EG,1719795838
314,kish,26.5578,54.0194,30.15,84,3,4.12,IR,1719795838
315,chos malal,-37.3781,-70.2709,6.81,49,0,4.92,AR,1719795838
316,murghob,38.1702,73.9667,10.87,47,63,0.97,TJ,1719795838
317,kottagudem,17.55,80.6333,25.13,91,100,1.77,IN,1719795838
318,leninskoye,41.7589,69.3864,19.49,47,19,2.93,KZ,1719795838
